timestamp_ms,altitude_m,ax_mps2,ay_mps2,az_mps2,gx_dps,gy_dps,gz_dps
10007,0.08,0.934,-0.024,9.596,-6.04,0.24,0.79
10047,0.02,0.915,-0.019,9.486,-5.91,0.49,0.67
10087,0.02,0.833,0.024,9.538,-5.85,0.3,0.73
10127,-0.1,0.977,-0.048,9.543,-6.04,0.3,0.61
10167,-0.04,0.929,-0.005,9.629,-6.16,0.37,0.85
10207,0.02,0.895,0.067,9.62,-6.1,0.37,0.55
10247,-0.1,0.929,0.005,9.663,-6.1,0.49,0.73
10287,-0.14,0.876,0.034,9.663,-6.1,0.24,0.79
10327,-0.03,0.924,0.086,9.567,-6.04,0.49,0.85
10368,-0.1,0.915,-0.01,9.567,-6.04,0.43,0.55
10407,-0.22,0.871,-0.029,9.534,-6.04,0.43,0.61
10447,-0.16,0.862,0.019,9.577,-5.91,0.61,0.73
10487,-0.16,0.857,0.029,9.519,-6.04,0.3,0.79
10527,-0.11,0.867,0.024,9.548,-5.91,0.43,0.67
10567,-0.17,0.924,-0.048,9.543,-6.16,0.49,0.73
10607,-0.1,0.915,-0.024,9.572,-6.16,0.37,0.61
10647,-0.17,0.934,0.029,9.582,-6.04,0.24,0.85
10687,-0.17,0.929,0.005,9.409,-5.98,0.3,0.61
10727,-0.23,0.862,0.019,9.572,-6.16,0.37,0.73
10767,-0.23,0.881,-0.034,9.582,-5.98,0.37,0.85
10807,-0.23,0.819,0.048,9.553,-6.22,0.3,0.55
10847,-0.17,0.862,0.057,9.615,-6.16,0.43,0.73
10887,-0.16,0.895,-0.005,9.538,-6.16,0.43,0.49
10927,-0.1,0.919,-0.062,9.634,-6.04,0.18,0.43
10967,-0.16,0.838,0.062,9.562,-6.04,0.43,0.67
11008,-0.23,0.857,0.005,9.543,-6.1,0.43,0.73
11047,-0.11,0.871,0,9.606,-5.91,0.43,0.85
11087,-0.04,0.9,0.01,9.658,-5.98,0.3,0.79
11127,-0.11,0.915,0.005,9.61,-5.98,0.24,0.79
11167,-0.05,0.848,-0.005,9.553,-6.16,0.43,0.55
11207,0.02,0.886,-0.014,9.567,-6.1,0.43,0.61
11247,-0.04,0.886,-0.019,9.558,-5.91,0.24,0.67
11287,-0.1,0.9,-0.043,9.596,-6.04,0.24,0.73
11327,-0.23,0.867,-0.029,9.476,-5.91,0.24,0.79
11367,-0.23,0.881,0.038,9.553,-6.16,0.49,0.73
11407,-0.24,0.895,0.01,9.582,-6.04,0.3,0.91
11447,-0.11,0.9,0.057,9.515,-5.98,0.49,0.73
11487,-0.23,0.843,-0.005,9.562,-5.98,0.55,0.55
11527,-0.23,0.91,0.053,9.538,-5.98,0.37,0.79
11567,-0.16,0.895,0,9.524,-6.1,0.18,0.79
11607,-0.17,0.867,-0.005,9.529,-5.98,0.37,0.79
11648,-0.17,0.9,0,9.586,-5.98,0.18,0.61
11687,-0.23,0.924,0.014,9.553,-6.1,0.3,0.85
11727,-0.3,0.905,0.024,9.596,-6.1,0.43,0.67
11767,-0.3,0.905,0.014,9.558,-5.98,0.3,0.61
11807,-0.3,0.924,0.038,9.582,-6.22,0.24,0.61
11847,-0.24,0.886,-0.014,9.716,-6.1,0.37,0.61
11887,-0.18,0.828,0.005,9.481,-6.04,0.3,0.67
11927,-0.3,0.886,-0.019,9.62,-5.91,0.43,0.67
11967,-0.24,0.891,-0.014,9.61,-5.98,0.3,0.79
12007,-0.05,0.905,0.034,9.577,-5.85,0.43,0.73
